City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Klaksvik,FO,62.2266,-6.589,36.52,96,98,26.6,overcast clouds
80,Nanortalik,GL,60.1432,-45.2371,30.29,78,100,15.35,light snow
81,Renqiu,CN,38.6989,116.0936,27.82,31,95,7.34,overcast clouds
82,Kodiak,US,57.79,-152.4072,38.71,93,100,13.8,mist
83,Butaritari,KI,3.0707,172.7902,80.62,80,66,12.46,light rain
84,Saskylakh,RU,71.9167,114.0833,-31.4,100,81,1.5,broken clouds
85,Chadan,RU,51.2833,91.5833,-19.89,96,24,3.04,few clouds
86,Itanhaem,BR,-24.1831,-46.7889,85.24,76,70,7.81,broken clouds
87,Te Anau,NZ,-45.4167,167.7167,48.51,97,100,3.53,light rain
88,Mataura,NZ,-46.1927,168.8643,53.47,75,100,0.69,moderate rain
89,Mangan,IN,27.5167,88.5333,50.77,85,94,2.28,overcast clouds
90,Puerto Ayora,EC,-0.7393,-90.3518,80.56,88,8,5.01,clear sky
91,Bredasdorp,ZA,-34.5322,20.0403,74.52,41,91,18.41,overcast clouds
92,Fukue,JP,32.6881,128.8419,45.7,55,100,12.86,overcast clouds
93,Shelburne,CA,44.0787,-80.2041,18.12,84,100,13.31,overcast clouds
94,Hamilton,US,39.1834,-84.5333,32.72,94,100,1.99,freezing rain
95,Manjhanpur,IN,25.5333,81.3833,64.17,65,74,14.32,broken clouds
96,Karratha,AU,-20.7377,116.8463,83.07,71,100,3.85,overcast clouds
97,Udachnyy,RU,66.4167,112.4,-30.33,100,80,1.36,broken clouds
98,Tumaco,CO,1.7986,-78.8156,80.85,75,36,9.31,light rain
99,Kapaa,US,22.0752,-159.319,68.32,88,75,8.05,broken clouds
100,Hermanus,ZA,-34.4187,19.2345,69.8,66,50,14.61,scattered clouds
101,Cayenne,GF,4.9333,-52.3333,82.44,89,75,12.66,broken clouds
102,Saint-Philippe,RE,-21.3585,55.7679,78.35,93,100,37.0,heavy intensity rain
103,Fairbanks,US,64.8378,-147.7164,-25.98,66,0,4.61,clear sky
104,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,87.49,51,40,3.02,scattered clouds
105,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,88,75,9.22,light intensity drizzle
106,Tupik,RU,54.4253,119.9327,-19.57,97,61,2.75,broken clouds
107,Gizo,SB,-8.103,156.8419,80.51,83,100,12.44,light rain
108,Nokaneng,BW,-19.6667,22.2667,70.48,83,95,15.95,moderate rain
109,Vostok,RU,46.4856,135.8833,-11.16,99,100,4.38,overcast clouds
110,Maldonado,UY,-34.6667,-54.9167,81.79,60,80,8.57,broken clouds
111,Nome,US,64.5011,-165.4064,10.47,53,0,32.21,clear sky
112,Zapolyarnyy,RU,69.4154,30.8136,2.48,98,100,3.22,overcast clouds
113,San Pedro De Ycuamandiyu,PY,-24.0917,-57.0764,91.94,49,87,3.94,overcast clouds
114,Concepcion Del Uruguay,AR,-32.4825,-58.2372,86.02,45,99,17.76,overcast clouds
115,Camana,PE,-16.6228,-72.7111,74.7,73,97,10.04,overcast clouds
116,Virtsu,EE,58.5716,23.5115,28.94,94,29,3.87,scattered clouds
117,East London,ZA,-33.0153,27.9116,72.54,88,40,18.41,scattered clouds
118,Yurginskoye,RU,56.8189,67.3921,22.71,87,100,14.27,overcast clouds
119,Taoudenni,ML,22.6783,-3.9836,77.88,12,0,11.07,clear sky
120,Olafsvik,IS,64.8945,-23.7142,25.68,64,92,10.4,overcast clouds
121,Beira,MZ,-19.8436,34.8389,82.58,75,10,11.16,clear sky
122,Faanui,PF,-16.4833,-151.75,79.66,78,51,16.69,broken clouds
123,Springbok,ZA,-29.6643,17.8865,75.2,33,0,16.44,clear sky
124,Posse,BR,-14.0931,-46.3694,85.69,47,90,2.53,overcast clouds
125,Male,MV,4.1748,73.5089,85.95,62,20,3.44,few clouds
126,Abnub,EG,27.2696,31.1511,59.02,31,1,13.49,clear sky
127,Goderich,CA,43.7501,-81.7165,19.9,79,100,10.36,overcast clouds
128,Yellowknife,CA,62.456,-114.3525,-30.59,75,20,10.36,few clouds
129,Broome,US,42.2506,-75.833,39.16,74,100,8.05,light rain
130,Dikson,RU,73.5069,80.5464,-14.06,98,92,7.83,overcast clouds
131,Kruisfontein,ZA,-34.0033,24.7314,69.89,74,80,18.92,broken clouds
132,Rio Gallegos,AR,-51.6226,-69.2181,48.25,71,100,3.44,overcast clouds
133,Palmaner,IN,13.2,78.75,68.56,68,99,6.13,overcast clouds
134,San Cristobal,VE,7.7669,-72.225,75.38,36,94,8.55,overcast clouds
135,Seoul,KR,37.5683,126.9778,26.04,66,0,1.14,clear sky
136,Kattivakkam,IN,13.2167,80.3167,79.07,77,99,11.21,overcast clouds
137,Conde,BR,-7.2597,-34.9075,85.46,66,40,14.97,scattered clouds
138,Atuona,PF,-9.8,-139.0333,78.1,77,11,16.58,light rain
139,Valdivia,CL,-39.8142,-73.2459,69.89,50,100,3.15,moderate rain
140,Norden,DE,53.6,7.2,45.95,92,100,14.76,overcast clouds
141,Flinders,AU,-34.5833,150.8552,64.2,75,97,13.96,overcast clouds
142,Donghai,CN,22.9459,115.642,52.95,82,93,6.33,overcast clouds
143,Cabra,ES,37.4725,-4.4421,72.18,33,68,5.73,broken clouds
144,Tahta,EG,26.7693,31.5021,59.99,27,0,12.8,clear sky
145,Thinadhoo,MV,0.5333,72.9333,82.38,71,100,4.05,overcast clouds
146,Bardiyah,LY,31.7561,25.0865,54.01,61,94,28.9,overcast clouds
147,Fortuna,US,40.5982,-124.1573,46.92,87,100,1.01,overcast clouds
148,Mananara,MG,-16.1667,49.7667,75.67,89,100,6.29,light rain
149,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.79,74,75,6.71,broken clouds
150,Khatanga,RU,71.9667,102.5,-33.14,100,24,2.21,few clouds
151,Taltal,CL,-25.4,-70.4833,71.76,64,0,8.84,clear sky
152,Pochutla,MX,15.7432,-96.4661,80.82,43,2,6.06,clear sky
153,Dwarka,IN,22.2394,68.9678,70.72,48,2,11.43,clear sky
154,Buraydah,SA,26.326,43.975,75.65,24,7,9.62,clear sky
155,Trenggalek,ID,-8.05,111.7167,75.87,92,94,1.03,heavy intensity rain
156,Okhotsk,RU,59.3833,143.3,4.98,76,96,16.82,overcast clouds
157,Sur,OM,22.5667,59.5289,70.7,57,0,13.91,clear sky
158,Pitimbu,BR,-7.4706,-34.8086,86.59,61,85,12.82,overcast clouds
159,Fuerte Olimpo,PY,-21.0415,-57.8738,94.08,44,32,10.58,scattered clouds
160,Itapecerica,BR,-20.4725,-45.1256,76.17,76,98,4.7,overcast clouds
161,Ribeira Grande,PT,38.5167,-28.7,63.0,67,20,8.05,few clouds
162,Hilo,US,19.7297,-155.09,69.39,59,0,6.91,clear sky
163,Rundu,NA,-17.9333,19.7667,82.35,45,72,1.36,broken clouds
164,Grindavik,IS,63.8424,-22.4338,27.07,86,75,13.8,broken clouds
165,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,75,25.32,moderate rain
166,Akdepe,TM,42.0551,59.3788,39.29,62,54,15.3,broken clouds
167,Alofi,NU,-19.0595,-169.9187,76.89,88,97,3.44,overcast clouds
168,Hobart,AU,-42.8794,147.3294,52.05,79,40,1.01,scattered clouds
169,Saint-Paul,RE,-21.0096,55.2707,78.89,82,100,17.81,moderate rain
170,Ust-Nera,RU,64.5667,143.2,-15.45,100,99,4.05,overcast clouds
171,Port-Cartier,CA,50.0334,-66.8654,24.91,75,100,10.87,overcast clouds
172,Dunedin,NZ,-45.8742,170.5036,54.81,86,100,1.99,light rain
173,Kaitangata,NZ,-46.2817,169.8464,55.92,83,100,2.91,light rain
174,Visnes,NO,59.3556,5.2242,44.82,93,100,13.8,fog
175,San Patricio,US,28.017,-97.5169,42.89,81,100,20.42,overcast clouds
176,Progreso,MX,21.2833,-89.6667,81.1,60,71,15.84,broken clouds
177,Mzimba,MW,-11.9,33.6,69.28,86,85,1.99,light rain
178,Olga,RU,43.7444,135.2892,9.91,58,4,14.07,clear sky
179,Roebourne,AU,-20.7833,117.1333,84.24,63,100,4.0,overcast clouds
180,Fjerritslev,DK,57.0813,9.2664,45.05,98,100,13.47,overcast clouds
181,Hobyo,SO,5.3505,48.5268,77.83,68,11,19.93,few clouds
182,Esperance,AU,-33.8667,121.9,64.24,74,3,20.09,clear sky
183,Muros,ES,42.7762,-9.0603,59.23,72,100,7.47,overcast clouds
