City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
212,Morong,PH,79.14,broken clouds,14.5115,121.2393,Clarita De Luisa
215,Satun,TH,80.6,few clouds,6.8333,100.0,บ้านไทโฮมสเตย์&รีสอร์ท จ.สตูล
216,Sibolga,ID,75.78,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
223,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
226,Epe,NG,87.39,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
227,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
229,Sumbe,AO,80.6,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
233,Tibiri,NE,82.74,clear sky,13.5627,7.0485,FADA GAO FA TIBIRI
236,Beloha,MG,75.67,clear sky,-25.1667,45.05,
241,Caravelas,BR,86.4,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
244,The Valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
248,Pemangkat,ID,77.22,overcast clouds,1.1667,108.9667,Ramah Kost KITA
252,La Primavera,CO,92.84,broken clouds,5.4906,-70.4092,La Riviera Hotel Colonial
255,Palma Soriano,CU,81.46,broken clouds,20.2172,-75.9989,Mercedes Rooms
262,Anloga,GH,88.02,few clouds,5.7947,0.8973,Pin Drop Hotel
265,Noumea,NC,76.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
271,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
275,Tautira,PF,78.82,few clouds,-17.7333,-149.15,Pension Oaoa
278,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
279,Hualmay,PE,75.43,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
280,Matara,LK,75.56,clear sky,5.9485,80.5353,Amaloh Boutique Resort
284,Bafoulabe,ML,94.86,clear sky,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
285,Tevaitoa,PF,79.18,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
286,Isangel,VU,78.91,moderate rain,-19.55,169.2667,Tanna Lodge
289,Soure,BR,82.71,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
290,Daru,PG,77.76,overcast clouds,-9.0763,143.2092,Daru Lodge
293,Edgewater,US,77.09,few clouds,28.9889,-80.9023,Islander Beach Resort
298,Ambilobe,MG,76.95,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
302,San Carlos De Bariloche,AR,77.45,broken clouds,-41.1456,-71.3082,Hotel Patagonia
304,Luanda,AO,78.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
